核心市场,一般市场,边缘市场,TouristNumber
4322.662,1498.725,1820.6,854774
5209.855,1447.814,1940.099,707020
6723.956,1765.885,2193.422,1288661
8210.958,1846.19,2438.062,1891583
6579.932,1812.451,2055.621,2286453
6293.233,1788.093,2401.362,1470506
7851.153,2069.397,2575.162,1474029
6923.037,1909.831,2448.972,1217113
8054.78,1981.009,2391.47,1361770
6500.409,1741.005,2041.811,1791134
4984.872,1614.009,2008.765,1206479
4754.305,1570.815,1777.157,2831353
5131.435,1594.588,1944.381,846350
4819.263,1595.036,1949.049,907064
6642.108,1863.843,2311.507,1472153
8233.294,1880.791,2339.626,2096335
6351.846,1808.136,2288.452,2308918
6701.24,1847.191,2238.987,1857478
7994.008,2165.494,2635.971,1602420
7459.826,1963.874,2468.842,1344966
8010.245,1995.346,2416.652,1451590
6403.658,1675.422,2097.92,1840375
4380.056,1504.959,1695.03,2336300
5465.836,1636.894,1659.926,3066955
4413.568,1577.952,1869.417,1150427
4774.987,1489.091,1699.128,874641
5771.04,1729.109,1928.246,1283525
6504.135,1693.723,1942.867,2194319
5920.837,1959.678,2573.637,2090723
5970.368,1816.791,2213.98,1572068
17511.285,4615.074,5371.763,1291456
16612.757,4114.987,4983.029,1239271
17753.204,4318.655,5059.761,1292115
16381.332,3880.405,4651.393,1976355
11877.111,3400.739,3904.404,2334883
11364.765,3495.746,4363.791,1912409
12759.535,3518.649,3976.29,637184
13495.791,3355.975,4232.891,685001
15737.207,3862.994,4902.865,1003812
22365.066,4310.232,5108.724,1757727
19867.246,4250.579,5351.198,1796850
22648.749,4623.606,5366.227,1390893
27421.888,5184.858,5902.13,1098022
29847.511,5127.848,5798.242,1020903
32528.75,5624.852,6090.255,1230448
34881.346,5523.482,6265.554,1865507
15901.805,3679.095,4347.437,2125695
15677.432,3823.459,4776.364,1920603
14458.033,3815.99,4937.034,703098
16680.882,3414.284,3878.752,686392
17808.605,4030.905,4506.207,970104
20791.598,4291.348,4767.824,1797888
17444.667,3929.312,4819.241,2002268
17635.711,4117.164,5165.548,1619540
24285.929,5015.106,5706.09,1241395
36752.871,6433.525,6447.837,1428579
36902.656,6407.437,6748.58,1321971
36458.825,6021.233,6487.764,1766957
22655.916,5138.798,6097.075,2124053
23819.934,5226.208,6256.851,2242044
23429.01,5068.171,5699.751,870845
30968.392,5403.071,5603.732,688974
27426.617,5702.917,6120.876,1378302
33318.712,6060.416,6139.829,2478590
30351.812,6391.1,6445.192,1874363
33675.009,6822.852,6922.017,1776819
42611.402,8465.061,7831.182,1757031
43026.539,7810.762,6928.232,1956429
33967.349,6345.564,6179.574,1652020
33095.048,5908.513,5868.869,2227084
19724.168,4496.014,5107.523,2437869
22569.79,5037.923,5599.695,1971691
28648.799,5918.971,5416.79,970661
24554.123,5286.591,5034.903,1036442
25108.009,5740.14,5457.605,1575215
31979.053,5696.233,5493.912,2565422
29771.625,6157.182,5879.002,2291034
28842.781,7317.083,6903.319,2305688
39654.131,9066.714,7936.34,1832590
39205.149,7971.267,6830.834,2066679
34079.741,6672.949,6544.529,2216200
34716.318,6581.999,6364.133,2722853
23530.588,5645.054,7581.184,2620684
24107.465,5611.776,7318.251,1656333
6712.414,5726.436,3701.479,873888
6877.062,5419.052,3235.599,862523
8222.507,5945.026,3818.581,1389101
7270.808,5081.668,3135.249,2246964
4984.98,3628.209,2389.571,2340518
5109.893,3540.541,2426.823,1798207
5860.393,3908.389,2637.647,1441543
5742.215,3705.257,2345.679,1458499
4953.436,3262.725,1915.485,1495691
5672.367,3857.317,2434.977,1920051
